femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
67.367642,-50.895360,-90.478802,67.367642,-50.895360,-90.478802,3.125000,-19.375000,-18.125000,4.375000,-18.125000,0.625000
79.173557,-166.640567,-24.511236,79.173557,-166.640567,-24.511236,4.375000,-19.375000,-18.125000,4.375000,-18.125000,1.875000
13.101498,-53.799021,-130.715845,13.101498,-53.799021,-130.715845,4.375000,-19.375000,-19.375000,3.125000,-19.375000,1.875000
-31.686159,157.515158,158.490894,-31.686159,157.515158,158.490894,3.125000,-18.125000,-19.375000,4.375000,-19.375000,1.875000
-42.720966,-98.562368,127.330630,-42.720966,-98.562368,127.330630,3.125000,-18.125000,-18.125000,4.375000,-19.375000,0.625000
53.567010,-92.656086,15.364033,53.567010,-92.656086,15.364033,5.625000,-18.125000,-18.125000,3.125000,-18.125000,0.625000
15.102789,-108.058905,-158.152122,15.102789,-108.058905,-158.152122,5.625000,-18.125000,-19.375000,3.125000,-18.125000,1.875000
-76.549127,-169.444457,-35.204648,-76.549127,-169.444457,-35.204648,6.875000,-18.125000,-19.375000,5.625000,-18.125000,1.875000
62.477967,26.916387,100.156783,62.477967,26.916387,100.156783,5.625000,-19.375000,-19.375000,5.625000,-18.125000,0.625000
-71.016666,-85.854038,-119.785401,-71.016666,-85.854038,-119.785401,5.625000,-19.375000,-18.125000,6.875000,-18.125000,0.625000
-14.044925,-101.677492,-53.308494,-14.044925,-101.677492,-53.308494,6.875000,-18.125000,-18.125000,5.625000,-19.375000,0.625000
33.576614,69.959411,-148.846637,33.576614,69.959411,-148.846637,6.875000,-19.375000,-18.125000,5.625000,-19.375000,1.875000
49.197973,-162.235604,140.184992,49.197973,-162.235604,140.184992,6.875000,-19.375000,-19.375000,6.875000,-18.125000,1.875000
-40.085438,-173.367840,-11.417943,-40.085438,-173.367840,-11.417943,8.125000,-19.375000,-19.375000,6.875000,-19.375000,1.875000
-44.163002,-49.064332,-166.890944,-44.163002,-49.064332,-166.890944,9.375000,-18.125000,-19.375000,6.875000,-19.375000,0.625000
